Code,Name,Description
ANTH119,Household Archaeology,"Household Archaeology plays a central role in the analysis of a wide range of anthropological issues, such as wealth, status, economic risk, gender, political networks, and ethnicity. Focuses on how to integrate household data into abstract general t..."
ANTH121,Human Evolution,The nature and results of the evolutionary processes responsible for the formation and differentiation of human populations.
ANTH121T,"Genetics, Natural Selection, and Human Evolution","An introduction to the nature and role of genes in evolution, in natural selection, in sexual reproduction, in cellular regulation, in human development, in structuring universal human adaptive design, and in creating individual and intergroup simila..."
ANTH123,Feeding Ecology of Primates and Humans,Foraging and feeding patterns in primates with some discussion of human patterns. Topics include digestive physiology; measurement of energy flows and food availability; foraging theory; and the evolutionary context of human diets.
ANTH123MG,Data Analysis for the Social Sciences with R,"An introduction to the scientific process and data analysis using the programming language R. Students harness fundamentals of data manipulation, visualization, and research workflows to refine and present hypotheses and results on social science dat..."
ANTH124,Anthropological Political Economy,This course presents the contribution of Marxist analysis to anthropology. Among the topics explored are: the commodity; accumulation; reproduction; class; peasants and capital; land and labor; hegemony.
ANTH125,Anthropology of Gender,"The cross-cultural study of gender from a feminist perspective. Topics may include gender, race, and class; gender and nature; gender and the division of labor; gender and kinship; gender and subjectivity; gender and sexuality; gender and the state;..."
ANTH126,Laboratory Methods and Biomarkers for the Social Sciences,"This course spans a broad range of theory and methods involved in using biomarkers in the social sciences. Theory comes from areas of behavioral research including, behavioral endocrinology, behavioral ecology, evolutionary medicine, and public healt..."
ANTH128,The Archaeology of Gender,"The development of gender as a research focus in archaeology over the past several decades. Examine case studies that consider the identification and understanding of past gender relations, specifically how gender relations are materialized in the ar..."
ANTH129,Ethnographic Research Methods: Ethics and Engagement,"Interrogation of ethnographic research, its development and its ethical implications. Weighing approaches such as participatory action research, engaged and collaborative research, and decolonized methodologies. Students will develop projects based o..."
ANTH129MG,Behavioral Ecology of Hunter Gatherers,"A thorough introduction using a behavioral ecology approach to the diversity of behaviors found among foragers in Africa, South America, Southeast Asia, and Australia. Topics include: diet and subsistence, mating, demography, social behavior, mobilit..."
ANTH130,International Development and Population Health,"Considers the distribution and determinants of well being in human populations, with an emphasis on low-income nations and the actions of the international development sector. Focus is placed on cultural/social determinants of health, including issue..."
ANTH131,North American Indians,"The origins, development, and attainments of New World aboriginal cultures north of Mexico. Some emphasis is given to California groups such as the Chumash."
ANTH131CA,California Indigenous Peoples,"Investigation of the diversity of California Indian societies at the beginning of European colonization, including social organization, economy, material culture, and ideology. Also considered are origins and historic changes. Emphasis is placed on c..."
ANTH132,Anthropology of Law,"Examines the way the law and legal apparatuses binds subjects (human and otherwise) to the material world. It does so by conceptually analyzing what the law is and the experiences it creates as they are depicted in legal discourse, the historical arc..."
ANTH132TS,Ceramic Analysis in Archaeology,"An overview of how ceramics are used in archaeology. Topics include pottery manufacture, classification, stylistic and functional analysis, scientific analysis, chronology, production and exchange, ceramic consumption and socio-political organization..."
ANTH133,Cultural Development in Mesoamerica,"The rise and fall of various ancient civilizations such as those of the Maya, Aztecs, Toltecs, Teotihuacanos, and Olmec as well as their cultural antecedents. This course uses self-paced audiovisual modules as well as traditional lecture format."
ANTH134,Cultural Anthropology of Latin America,"Contemporary issues of rural and urban societies in the Caribbean, and Central and South America. Examination of continuities and changes in cultural institutions and values; inequality, colonialism, settler colonialism, state formation, indigenous s..."
ANTH135,Cultural Anthropology of Mexico,"An examination of contemporary issues in Mexico through an anthropological lens. Topics may include race, class, gender, and sexuality, nation-state formation, settler colonialism, decolonization, social movements, and political economy."
ANTH137,The Ancient Maya,The splendiferous Maya civilization as it waxed and waned during ancient times.
ANTH138,Anthropology of Environmental Health,"A sociocultural medical anthropological approach to explore how environmental hazards, many of them human-influenced, shape health and illness around the world. Topics include environmental risk and perception, industrial toxics, disasters, environme..."
ANTH138TS,Archaeology of Egypt,"Selected topics on the archaeology of ancient Egypt, placing the monuments of this great civilization in the context of its rise and development. Emphasis on ancient Egyptian material culture as a source for understanding Egyptian political, social,..."
ANTH139,Indigeneity and Sovereignty,Survey of indigenous societies worldwide. Topics may include sovereignty; settler colonialism; resistance and decolonization; assimilationist narratives and policies; indigenous political movements; ethnocide and ecocide; indigenous epistemologies an...
ANTH139CH,"Landback, Reparations, and Solidarity Economies","An introduction to two related topics that have become increasingly central in the US and beyond in recent years: rising demands for, and concrete steps toward, the return of lands to present day descendants of Native and Indigenous peoples who previ..."
ANTH141,Agriculture and Society in Mexico: Past and Present,The evolution of rural Mexico: from origins of Mesoamerican agriculture to the rise of high civilization; from the establishment of the colonial system to the demise of colonial agricultural institutions; from the revolution of 1910 to the enactment...
ANTH142,Cultural Anthropology of South Asia,"Survey of anthropological topics in South Asia, such as regional space and society; family, kin, and village life; caste and colorism; class and social organization; religion; urbanization; agriculture; colonial and postcolonial states."
ANTH143F,Ethics in Archaeology,"An analysis of ethics in contemporary archaeology. Topics include reburial and repatriation, interpretation of the archaeological record in the context of historically oppressed groups, ethnic minorities, and non-western societies. The course also in..."
ANTH144,The Archaeology of Warfare,Tracks cross-cultural ethnographic research and archaeological case studies of violence to provide a historically contextualized and data-rich exploration of violence in the ancient world.
ANTH145,Anthropological Demography and Life History,"Introduces students to anthropologic applications of demography and life history theory. Focuses on ecological approaches to population dynamics, birth and death processes, and policy implications in light of population ""problems"" among traditional a..."
ANTH146,Anthropology of Development,"An introduction to the discourse and practice of development as it has taken shape during the modern period. Topics include conceptual linkages among economic, political, social and cultural aspects of development; governmental and non-governmental i..."
ANTH147,Water and Society,"Covers the longstanding debate over the relation between irrigation and state formation, as well as current developments in the study of water and society. Emphasis is placed on people living in arid and semi-arid environments."
ANTH148,Ecological Anthropology,Focuses on the complex and dynamic interactions between human beings and their physical environment. Examines ecological thinking in anthropology and the various theoretical approaches within the discipline that have developed from the coalescence of...
ANTH148A,"Race, Racism and Anti-racism","Race is an idea about essential human differences that has no scientific foundation in biology, but which nevertheless organizes society and culture at all scales. This course takes a critical look at the race concept, the forms of inequality it orga..."
ANTH150,Human Genetics,"Introduction to basic principles of genetics and genomics in human evolution. Topics covered include molecular evolution, population genetics, comparative genomics, epigenetics, gene-culture interactions and relevant social and ethical issues."
ANTH150B,Archaeology of Andean Civilizations,"A survey of the prehistory of Andean South America beginning with complex cultures of the Initial Period and ending with an overview of the Inca Empire. Major cultures include Chavin, Nasca, Moche, Wari and Tiwanaku."
ANTH150C,The Inca Empire,"An in-depth study of the fabled Inca Empire of South America, including archaeological and historical sources. Topics include Inca origins, political organization, economy, and social structure."
ANTH151T,Evolutionary Psychology,"Surveys evolutionary psychology, examining traditional psychological topics through Darwinian lenses. Traditional psychology answers mechanistic questions about how perception, emotion, cognition, development and social interactions work. Evolutionar..."
ANTH152,Environmental Anthropology,"Examines the ways that humans interact with, use, and perceive the environment and nature, with a focus on the cultural, political, and economic features of human environment relationships across time and in different parts of the world. Through read..."
ANTH153,Seminar on Primate and Human Sexual Behavior,"A critical examination of the nature and determinants of human sexuality, emphasizing evolutionary and cross-cultural approaches."
ANTH153S,The Evolution of Human Sexuality,"Exploration of the psychological mechanism--adaptations--that underpin human sexual feeling, thought, and action. Emphasis on male-female differences, ""engineering"" analyses, the comparative method as sources of information about adaptive design. Inc..."
ANTH153T,Primate Behavior,"An introduction to primatology and the principles of behavioral ecology using langur, vervet, macaque, baboon, gorilla, and chimpanzee field studies to illustrate theories of foraging, parenting, kinship, sexual selection, incest avoidance, aggressio..."
ANTH155,Prehistory of California and the Great Basin,"A survey of the prehistory of California and the Great Basin, which includes principally the states of Nevada and Utah. Consideration is also given to how archaeologists construct regional cultural developments and attempt to explain prehistoric cult..."
ANTH156,The Anthropology of Africa,"This course offers an overview of the anthropological studies of people on the African continent. Drawing from case studies in archaeology, historical linguistics, ethnography, biological anthropology and medical anthropology, this course documents a..."
ANTH157,Ethnographic Field Methods,"Introduction to skills and tools of data collection through fieldwork in cultural anthropology. Emphasis on techniques, methods, and concepts of ethnographic research and how basic observational information is systematized for presentation, analysis,..."
ANTH157ES,Ethnographic Field Methods,"Introduction to skills and tools of data collection through fieldwork in cultural anthropology. Emphasis on techniques, methods, and concepts of ethnographic research and how basic observational information is systematized for presentation, analysis,..."
ANTH157FS,Ethnographic Field Methods,"Introduction to skills and tools of data collection through fieldwork in cultural anthropology. Emphasis on techniques, methods, and concepts of ethnographic research and how basic observational information is systematized for presentation, analysis,..."
ANTH159,Anthropology of War,"Examines the concepts and experiences that cohere around warfare and weaponized conflict. Investigates the modern shape of war, its technologies, its strategies and how it’s infused within broader political and social life. Topics and concepts includ..."
ANTH161,Human Growth and Development,"Analyzes human growth and development from an evolutionary and cross-cultural perspective. Life stages from birth to death are considered, and contrasted with other primates. Other topics include brain evolution, fetal programming, sexual dimorphism,..."
ANTH162,Prehistoric Food Production,"A history of the process of plant and animal domestication in the Americas, the Near East, Asia, and Africa. Course focuses on the specific biological changes in the major domesticates as well as associated social changes in human life."
ANTH162G,"Sacred Laws, Social Injustice: Caste in Indian Society","The reverse of the principle of Separate but Equal, caste implies Together but Unequal. This course stresses two aspects of caste hierarchy: 1) caste as lived in India; and 2) caste as conceived and reformed within Hindu thought. At the theoretical l..."
ANTH163,Archaeology of North America,A survey of North American archaeology exclusive of Mesoamerica. Changes in prehistoric lifeways from simple hunting and gathering to complex agriculturally based chiefdoms will be explored through the study of the development of regional traditions...
ANTH164,The Origins of Complex Societies,"Why and how complex societies developed from simple, egalitarian societies in some areas of the world. Course surveys major theories and evidence surrounding the origins of states and urban societies in New and Old World."
ANTH167,People of the Ice Age,"Human adaptations and population dispersals during the Ice Age (Pleistocene epoch). Course focuses on Stone Age cultures and the evidence for early human occupation of the Americas and the Old World between three million and 10,000 years ago."
ANTH169,Evolution of Cooperation,"Interdisciplinary focus on the emergence and maintenance of cooperation in human populations. Are we unique in our abilities to reap gains from cooperative endeavors? Why are some people generous, others stingy? How do propensities, personalities, ec..."
ANTH170,Behavioral Ecology of the Family,"Considers diversity in human family structure and family relationships from the perspective of evolutionary anthropology. Topics include: kin selection and detection, sibling competition and family size, childhood and sexual maturity, parent-offsprin..."
ANTH171,Evolutionary Medicine,"Applies evolutionary principles to understanding human health and disease past and present. Topics include host/parasite co-evolution, aging and senescence, influence of human migration and culture on disease patterns, and evolutionary origins of dis..."
ANTH172,Colonialism and Power,"Anthropological approaches to colonialism, post-colonialism and power. Sites and regions covered differ depending on instructor. Topics include relations between colonialism and capitalism; rise of nationalism; race and racialization; gender, sexuali..."
ANTH173,The Anthropology of Disaster,"Examines how disasters transform people and societies. We survey natural, biological, environmental, and social catastrophes and explore their impacts on different vulnerable communities. Case studies of resilience and regeneration complement course..."
ANTH174,Amazonia,"Focuses on the people, environment, and history of Amazon basin. Topics of study include human-environment interactions across time; social and cultural groups; representations in film, media, and literature; and contemporary social, political, and e..."
ANTH175,Medical Anthropology,"This sociocultural anthropology course is focused on the social construction of health, risk, illness, and disease in the US and around the globe and research methods used to study them. Topics include health inequality and its social production, cri..."
ANTH176,Representations of Sexuality in Modern Japan,The main ideologies guiding the establishment of various representations of sexuality from prewar scientific writings to contemporary popular culture.
ANTH176TS,Ancient Egyptian Religion,"Examination of Ancient Egyptian religion from massive temples and pyramids to modest offerings and simple burials. The interaction of sacred and secular is considered through examination of the individual, society, and the state in shaping religious..."
ANTH177,Infrastructural Inequalities,"Explores the relationships between inequality and urban infrastructure. Focuses on how infrastructures reflect, create, and sometimes even remedy social inequalities."
ANTH177AB,Human Reproduction Ecology and Endocrinology,"Regulation of reproductive function by diet, energy balance, lactation, and social context. The role of hormones in the regulation of human reproduction, behavior, and physiology. Hormonal changes with parenting and pregnancy in men and women."
ANTH178,Internship in Archaeological Record-Keeping and Collections,Interns serve as assistants in the department's Central Coast Information Center or Repository for Archaeological Collections or both.
ANTH179,The Anthropology of Disaster,"Examines how disasters transform people and societies. We survey natural, biological, environmental, and social catastrophes and explore their impacts on different vulnerable communities. Case studies of resilience and regeneration compliment course..."
ANTH180,Archaeology of Ethnicity & Race,"Concepts of ethnicity and race are catalyzing forces today. Exploring the changing definitions and resonances of these categories in an archaeological context, we examine how these concepts shifted in antiquity and modern scholarship, with particular..."
ANTH180A,Osteology,Designed to teach students in archaeology and physical anthropology the basic skills necessary to identify and analyze the remains of animals recovered from archaeological excavations. Emphasis is placed on laboratory work with actual archaeological...
ANTH180B,Osteology,Continuation of Anthropology 180A with the development of a research project.
ANTH181,Methods and Techniques of Field Archaeology,"Introduction to archaeological research designs and field techniques of data collection, including survey, excavation, and site data recording. Coursework entails fieldwork all day Saturday."
ANTH182,Quantitative Data Analysis in Archaeology,"This course is an introduction to the practical analysis of commonly encountered archaeological data using simple quantitative and statistical procedures such as exploratory data analysis, sampling, regression, and spatial analysis. The course is tau..."
ANTH182M,Introduction to Lithic Analysis,This course gives students an introduction to the anthropology and archaeology of making and using stone tools. Practical experience in making tools and using them experimentally is emphasized.
ANTH183,Internship in Archaeological Resource Management,"Interns serve as assistants or trainees in the archaeological programs of a governmental agency, a museum, or a private firm in the local area. In collaboration with the instructor and an extramural archaeologist, the student conceives a set of activ..."
ANTH184,Settlement Pattern Analysis in Archaeology,"How the arrangement of archaeological sites across the landscape indicates aspects of human culture, including subsistence strategies and socio-political complexity. Methods of obtaining and interpreting settlement data."
ANTH186,Lab Course in Paleoethnobotany,"Study of archaeological plant remains, including field/lab methodology, the reconstruction of ancient environment and the subsistence, spatial and temporal analysis, quantitative methods, and taxonomy. Divided between lecture, discussion, and labwork..."
ANTH186Z,Lab Course in Zooarchaeology,"Study of archaeological faunal remains, including field/lab methodology, the reconstruction of ancient environment and the subsistence, spatial and temporal analysis, quantitative methods, and taxonomy. Divided between lecture, discussion, and labwor..."
ANTH188,The Seacoast in Prehistory,"An examination of maritime adaptations in world prehistory, emphasizing the integration of marine resources into economies of varying degrees of complexity. Course will cover New and Old World culture areas and the Santa Barbara region."
ANTH189,Problems in European Prehistory,Seminar in selected problems in the archaeology of Europe.
ANTH190,Cultural Anthropology Internship,"Students serve as interns in various settings such as museums, governmental agencies, and health organizations to gain exposure to different cultures. In collaboration with the instructor and an extramural anthropologist, the student conceives a set..."
ANTH192AB,Developmental Plasticity and Evolution,Explores how organisms develop differently in different environments; how developmental plasticity facilitates evolution; adaptive landscapes; genetic accommodation of phenotypic variation; reaction norms; variation and flexibility in immune function...
ANTH193,After graduation: Preparing for Graduate School and the Job Market,"This course is designed to guide students: (1) through the graduate school application process, and (2) in how to prepare for the job market. We will consider all steps and components of applying to graduate school. The second half of class will focu..."
ANTH194,Field Training Archaeology,Introduction to design of research projects and techniques of data collection in archaeology. The number of units taken in one course will depend on the amount of training and experience received.
ANTH194FT,Practicum in Primate Field Research,An applied course based in Uganda that emphasizes the acquisition of practical skills in primatological fieldwork and research. Projects will vary depending on the type of ongoing research in progress and students will work in collaborative teams.
ANTH194P,Practicum in Field and Laboratory Analysis,"An applied course emphasizing acquisition of practical skills in archaeological field work and laboratory analysis. Projects will vary depending on the type of archaeological research in progress and may include artifact processing, cataloguing, fiel..."
ANTH195A,Anthropology Honors Program: Research Design,"Formal classroom seminar to prepare students for the ANTH 195B and 195C Anthropology honors thesis sequence. This course guides students in formulating a research problem that they will pursue in ANTH 195B and 195C, including planning a research agen..."
ANTH195B,Anthropology Honors Program: INDIVIDUAL STUDY PART I,Individual research under the supervision of an Anthropology faculty member which will result in an honorsthesis. This course concentrates on reading and gathering of materials for thesis.
ANTH195C,Anthropology Honors Program: INDIVIDUAL STUDY PART II,Individual research under the supervision of an Anthropology faculty member which results in an honors thesis. Writing the thesis will be completed in this course. Final course in progress series.
ANTH196,Archaeology of Religion,"An analysis and survey of the ways in which archaeologists have approached religious beliefs and other intangibles in ancient societies. Emphasis on multidisciplinary perspectives, ethnographic analogy, and the impact of science on the study of ancie..."
ANTH197,Special Courses,Intensive studies or projects focused on special problems related to Anthropology which are not covered by other courses.
ANTH197AC,Special Courses,Intensive studies or projects focused on special problems related to Anthropology which are not covered by other courses.
ANTH197BA,Special Courses,Intensive studies or projects focused on special problems related to Anthropology which are not covered by other courses.
ANTH197CO,Special Courses,Intensive studies or projects focused on special problems related to Anthropology which are not covered by other courses.
ANTH197DB,Special Courses,Intensive studies or projects focused on special problems related to Anthropology which are not covered by other courses.
ANTH197DJ,Special Courses,Intensive studies or projects focused on special problems related to Anthropology which are not covered by other courses.
ANTH197DK,Special Courses,Intensive studies or projects focused on special problems related to Anthropology which are not covered by other courses.
ANTH197DL,Special Courses,Intensive studies or projects focused on special problems related to Anthropology which are not covered by other courses.
ANTH197EB,Ethnobotany and Economic Botany: Human Uses of Plants,"Explores the human uses of plants for food, fiber, medicine, and spirituality among the Worlds cultures. Ethnobotany draws from among several disciplines, including botany, anthropology, ecology, geography, and chemistry. Areas of investigation inclu..."
ANTH197EE,Special Courses,Intensive studies or projects focused on special problems related to Anthropology which are not covered by other courses.
ANTH197ER,Special Courses,Intensive studies or projects focused on special problems related to Anthropology that are not covered by other courses.
ANTH197ES,Special Courses,Intensive studies or projects focused on special problems related to Anthropology which are not covered by other courses.
ANTH197EW,Special Courses,Intensive studies or projects focused on special problems related to Anthropology which are not covered by other courses.
ANTH197FS,Special Courses,Intensive studies or projects focused on special problems related to Anthropology which are not covered by other courses.
ANTH197GI,Introduction to Geographic Information Systems and Spatial Analysis for Anthropology,"An overview of concepts and techniques of Geographic Information Systems (GIS) useful in Anthropological research. Weekly lab assignments guide students through the use of GIS software in order to understand processes of cartography, spatial database..."
ANTH197JB,Special Courses,Intensive studies or projects focused on special problems related to Anthropology which are not covered by other courses.
ANTH197JH,Special Courses,Intensive studies or projects focused on special problems related to Anthropology which are not covered by other courses.
ANTH197LG,Special Courses,Intensive studies or projects focused on special problems related to Anthropology which are not covered by other courses.
ANTH197LS,Special Courses,Intensive studies or projects focused on special problems related to Anthropology which are not covered by other courses.
ANTH197MB,Special Courses,Intensive studies or projects focused on special problems related to Anthropology which are not covered by other courses.
ANTH197MK,Special Courses,Intensive studies or projects focused on special problems related to Anthropology which are not covered by other courses.
ANTH197SM,European Prehistory,"Explores the archaeological record of human societies in Europe from the Upper Paleolithic to the Iron Age, a 40,000-year period. Lectures focus on specific sites and questions about culture change. We explore the evidence for subsistence and product..."
ANTH197TP,Special Courses,Intensive studies or projects focused on special problems related to Anthropology which are not covered by other courses.
ANTH197XX,Special Courses,Intensive studies or projects focused on special problems related to Anthropology which are not covered by other courses.
ANTH197XY,Special Courses,Intensive studies or projects focused on special problems related to Anthropology which are not covered by other courses.
ANTH197XZ,Special Courses,Intensive studies or projects focused on special problems related to Anthropology which are not covered by other courses.
ANTH197ZZ,Special Courses,Intensive studies or projects focused on special problems related to Anthropology which are not covered by other courses.
ANTH198,Independent Readings in Anthropology,Intended for students who know their own reading needs. Normally requires regular meeting with the instructor.
ANTH199,Independent Studies in Anthropology,Students must execute a limited research project on their own initiative.
ANTH199RA,Undergraduate Research Assistance Training in Anthropology,Student gains research experience through assisting faculty member in research project.
ANTH2,Introductory Cultural Anthropology,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics."
ANTH201A,Classical Archaeological Theory,"A survey and critique of archaeological theory from the nineteenth century through the 1970's, with emphasis on shifting paradigms and the implications for research."
ANTH201B,Contemporary Archaeology Theory,"A survey and critique or archaeological theory from the 1980's to the present, emphasizing the diversity of new approaches and their implications for research."
ANTH202,Advanced Topics in Primatology,"Exploratory discussion of major topics in primate behavioral ecology, cognition and evolution."
ANTH203,"Race, Racism, and Anti-racism in Anthropology","A critical review of Anthropology's engagements with race, racism, and anti-racism, past and present."
ANTH205,Ethics and the Profession of Anthropology,"A critical review of political and legal issues involved in the practice of anthropology, past and present."
ANTH206,Current Problems in Archaeology,Critical examination of a selected aspect of contemporary archaeological research and theory. Topics will vary from year to year.
ANTH206AV,Current Problems in Archaeology,Critical examination of a selected aspect of contemporary archaeological research and theory. Topics will vary from year to year.
ANTH206DJ,Current Problems in Archaeology,Critical examination of a selected aspect of contemporary archaeological research and theory. Topics will vary from year to year.
ANTH206DK,Current Problems in Archaeology,Critical examination of a selected aspect of contemporary archaeological research and theory. Topics will vary from year to year.
ANTH206GA,Current Problems in Archaeology,Critical examination of a selected aspect of contemporary archaeological research and theory. Topics will vary from year to year.
ANTH206GW,Current Problems in Archaeology,Critical examination of a selected aspect of contemporary archaeological research and theory. Topics will vary from year to year.
ANTH206KS,Current Problems in Archaeology,Critical examination of a selected aspect of contemporary archaeological research and theory. Topics will vary from year to year.
ANTH206LG,Current Problems in Archaeology,Critical examination of a selected aspect of contemporary archaeological research and theory. Topics will vary from year to year.
ANTH206SM,Current Problems in Archaeology,Critical examination of a selected aspect of contemporary archaeological research and theory. Topics will vary from year to year.
ANTH206SS,Current Problems in Archaeology,Critical examination of a selected aspect of contemporary archaeological research and theory. Topics will vary from year to year.
ANTH207,Problems in Hunter-Gatherer Archaeology,A problem-oriented seminar focusing on major issues in the archaeology of hunter-gatherers.
ANTH208,Anthropological Political Economy,"A Marxist perspective on topics such as: state formation, infrastructure, accumulation, neoliberalism, culture and class, land and labor, structure and process."
ANTH209,Applying Evolutionary Anthropology,Exploratory discussion of the potential of evolutionary anthropology to critique and inform the actions of the international development sector.
ANTH210,Basic Issues in Physical Anthropology,A review of basic issues in physical anthropology for graduate students in archaeology.
ANTH211,"Religion and Ethnography: Theory, Praxis, Experience",An introduction to the social scientific study of religion through the lens of the ethnographic method. Attends both to practical questions concerning the performance of qualitative research and to ethnography as a literary genre that captures the co...
ANTH213,The Archaeology of Gender,"Reviews gendered approaches to the past. We consider the development of this area of inquiry from the initial critiques concerning the invisibility of women in the past, to a consideration of gender as a relationship between men, women, children."
ANTH214,The Origins and Intensification of Agriculture,"Focuses on the origins and intensification of agriculture, by examining the shifts from foraging to farming to intensive food production. We consider issues of risk and uncertainty, timing relative to political complexity, population increase/nucleat..."
ANTH215,Resource Intensification,This course considers the topic of resource intensification for foraging and agricultural societies.
ANTH218,Problems in Andean Archaeology,"A problem-oriented approach to major issues in Andean archaeology. Focus is on the Middle Horizon of the Andean prehistory, especially the Wari and Tiwanaku cultures. Conducted on a seminar basis."
ANTH219,Anthropology and Risk,"Seminar will examine and discuss the uses of the concept of risk of anthropological, social and psychological theory and in case analyses of cultural values, environmental health and hazard, and illness and disease."
ANTH222,Ethnicity and Race in the Americas,"Identifies different racial projects, of how ""ethnicity"" and ""race"" are understood in specific contexts. Special attention is put on the ideas of mestizaje, indigenismo and development, and the role that played in the racial projects of Latin America..."
ANTH226,"Religion, Media, and Culture","Deals with the intersection of religion, culture and media in the context of contemporary, global transformations in religion. Topics may include indigenous media, televangelism, cyber-religion, new religious movements, proselytic media, neo-traditio..."
ANTH228,Culture and Spatial Practice,"Exploration of the sociocultural production of built form and the impact ofsocial space on human action. Readings drawn from cultural anthropology, cultural geography, art history, and social theory. Assessment based on weekly essays, participation,..."
ANTH232,Graduate Proseminar,"Exposes all first and second year students to examples of current research in the different subfields of anthropology, to provide opportunities to meet with eminent scholars from other institutions, and to provide a forum for collegial interactions a..."
ANTH234,Advanced Theory and Method in Evolutionary Psychology,"Interdepartmental research practicum in evolutionary psychology, biology, and anthropology for students and faculty planning or working on evolutionary research projects. Focus on experimental design, cross-cultural methods, organism design theory, n..."
ANTH235A,Foundations of Modern Social Theory,"Seminar introduces major post-enlightenment debates on social life and modernity. Selections from Marx, Durkheim, Weber, Freud as well as major responses, revisions and critiques in critical and subaltern theory, cultural studies, structuralism and p..."
ANTH235B,Issues in Contemporary Anthropology,"Survey of major theoretical trends since the 1960's. Topics include: political economy and Marxism; evolution, history, and anthropology; symbolic anthropology; development studies; gender studies; colonialism and nationalism; structuralism/post-stru..."
ANTH236,Graduate Seminar in Evolution of Religion,"Graduate seminar in recent developments in the evolution of religion, religiosity, spirituality, myth, or altered states of consciousness. Includes evolutionary psychology, neuroscience, and approaches from cultural and biological anthropology."
ANTH239A,Research Design and Writing in Archaeology,"How to design a fieldwork project and write a dissertation research proposal; the search for funding agencies; how to deal with funding institutions, professional organizations, publishers and employers; issues of a career in anthropology."
ANTH240A,Research Methods in Cultural Anthropology,"Designed to give students a solid grounding in basic research methods in cultural anthropology. Focus on the role of fieldwork, preparation for field research (ethics, health, and gender), systematic data collection, qualitative data base management..."
